scenario,seed,variable,domain,sigma1_truth,sigma2_truth,sigma3_truth,truth_tail_energy,truth_sigma2_sigma1,truth_spectral_gap,truth_rank_class
AR-S2,2,1,fit,0.12297361837274763,4.68656265818588e-17,4.858603078551071e-18,3.867710420094743e-16,3.8110309513544215e-16,4.2007023503307723e-17,rank1
AR-S2,2,2,core,0.022327444851710294,6.6585573241805535e-18,9.044769045603613e-19,3.050802377066138e-16,2.982229882731299e-16,5.7540804196201925e-18,rank1
AR-S2,2,2,fit,0.022897464988522964,4.71551454658529e-18,9.911002592807249e-19,2.1700240100714598e-16,2.0594046323245285e-16,3.7244142873045654e-18,rank1
AR-S2,3,0,core,0.025456723703892795,4.486585663234778e-18,1.1653650022397147e-18,1.9211323078173529e-16,1.7624364059655867e-16,3.3212206609950627e-18,rank1
AR-S2,3,0,fit,0.029031099593372887,5.2747312528993364e-18,1.2894858537667846e-18,1.9590567988769424e-16,1.8169243765411604e-16,3.985245399132552e-18,rank1
AR-S2,3,1,core,0.029309717507046397,7.093235241795341e-18,1.0345674731193385e-18,2.5048127896254496e-16,2.420096761454642e-16,6.058667768676003e-18,rank1
AR-S2,3,1,fit,0.11793003468381315,2.113097811163855e-17,3.714087582957078e-18,1.883806397922916e-16,1.7918232762581344e-16,1.741689052868147e-17,rank1
AR-S2,3,2,core,0.02253186596400499,6.108050979763351e-18,8.63918484674363e-19,2.7799644383721925e-16,2.7108500421230355e-16,5.244132495088988e-18,rank1
AR-S2,3,2,fit,0.02374013747318931,5.672736888248031e-18,8.96801512270806e-19,2.4782766718134196e-16,2.3895130744944e-16,4.775935375977225e-18,rank1
AR-S2,4,0,core,0.025195579017987156,7.306718391205634e-18,9.677325854280129e-19,2.9803894365273335e-16,2.900000188917809e-16,6.338985805777622e-18,rank1
AR-S2,4,0,fit,0.02913190149234015,4.261452078411212e-18,1.3052697414823037e-18,1.636779141119933e-16,1.4628128821359995e-16,2.9561823369289083e-18,rank1
AR-S2,4,1,core,0.02870178947641457,3.4208883298478487e-18,1.049250536570452e-18,1.3561608440693382e-16,1.191872838680993e-16,2.3716377932773967e-18,rank1
AR-S2,4,1,fit,0.13851169242449077,1.8861628350608142e-17,5.392099112901499e-18,1.5215934634693945e-16,1.3617354622167006e-16,1.3469529237706643e-17,rank1
AR-S2,4,2,core,0.022387882168376578,1.0151493770070262e-17,7.069514192441907e-19,4.5740157181901465e-16,4.534369840667417e-16,9.444542350826071e-18,rank1
AR-S2,4,2,fit,0.02318415603090392,7.336360348353819e-18,9.588687553848997e-19,3.236351599869619e-16,3.1643853408226845e-16,6.377491592968919e-18,rank1
AR-S3,0,0,core,0.025572831551863448,0.0008838393399799277,5.169697364660186e-18,0.03454102976836085,0.03456165337762622,0.0008838393399799224,weak_rank2
AR-S3,0,0,fit,0.02769272454140509,0.00542430030805398,4.4376846434019655e-18,0.1922217972728157,0.1958745626470872,0.0054243003080539755,strong_rank2
AR-S3,0,1,core,0.02605269957743818,0.015810567758016248,6.194647909978962e-18,0.5188068713000926,0.6068686936269864,0.010242131819421931,strong_rank2
AR-S3,0,1,fit,0.14272264162389325,0.017189146562850553,4.988333902400828e-17,0.11957332516988926,0.12043741880946877,0.017189146562850505,weak_rank2
AR-S3,0,2,core,0.02322940215419583,0.01680623611305661,5.70469429154707e-18,0.5861652971114201,0.7234898255881704,0.006423166041139218,strong_rank2
AR-S3,0,2,fit,0.16128626627306628,0.018213938568876074,5.608705341397495e-17,0.11221597992570188,0.1129292591970534,0.018213938568876018,weak_rank2
