scenario,seed,variable,domain,lag_basis_type,lag_basis_count,amplitude_basis_count,epsilon_lag,epsilon_amplitude,epsilon_amplitude_given_lag,epsilon_lag_given_amplitude,epsilon_joint,operator_error,sigma1_truth,sigma2_truth,sigma3_truth,truth_tail_energy,truth_sigma2_sigma1,operator_error_over_sigma2,operator_error_over_gap,truth_rank_class
AR-S1,0,0,fit,discrete_identity,64,24,0.0,8.244470828997109e-05,8.244470828997109e-05,0.0,8.244470828997405e-05,2.6668444830561334e-06,0.03234706675989831,6.2779966356294234e-18,1.5999983271393738e-18,2.0640879153407382e-16,1.9408240883876542e-16,12010399820.146666,12010399820.146666,rank1
AR-S1,0,0,fit,cubic_bspline,32,28,0.003873704213291833,3.406720839998116e-05,3.406695279983772e-05,0.00387370421104397,0.003873854009813476,0.00012530296879545593,0.03234706675989831,6.2779966356294234e-18,1.5999983271393738e-18,2.0640879153407382e-16,1.9408240883876542e-16,564314403575.6322,564314403575.6322,rank1
AR-S1,0,0,fit,cubic_bspline,40,28,0.00030921278848323097,3.406720839998116e-05,3.406720677134413e-05,0.0003092127883037987,0.0003110837879715959,1.0002126712151648e-05,0.03234706675989831,6.2779966356294234e-18,1.5999983271393738e-18,2.0640879153407382e-16,1.9408240883876542e-16,45045574133.758644,45045574133.758644,rank1
AR-S1,0,0,fit,cubic_bspline,48,28,1.0429914047178481e-05,3.406720839998116e-05,3.406720839812717e-05,1.0429914041126138e-05,3.5628047870640854e-05,1.1019742644438214e-06,0.03234706675989831,6.2779966356294234e-18,1.5999983271393738e-18,2.0640879153407382e-16,1.9408240883876542e-16,4962850886.72107,4962850886.72107,rank1
AR-S1,0,0,fit,discrete_identity,64,28,0.0,3.406720839998116e-05,3.406720839998116e-05,0.0,3.406720839997237e-05,1.1019742644372755e-06,0.03234706675989831,6.2779966356294234e-18,1.5999983271393738e-18,2.0640879153407382e-16,1.9408240883876542e-16,4962850886.69159,4962850886.69159,rank1
AR-S1,0,0,fit,cubic_bspline,32,32,0.003873704213291833,1.677184001651269e-05,1.6771714180412586e-05,0.003873704212747013,0.0038737405207979027,0.00012530296879545135,0.03234706675989831,6.2779966356294234e-18,1.5999983271393738e-18,2.0640879153407382e-16,1.9408240883876542e-16,564314403575.6116,564314403575.6116,rank1
AR-S1,0,0,fit,cubic_bspline,40,32,0.00030921278848323097,1.677184001651269e-05,1.677183921471005e-05,0.0003092127884397416,0.000309667310435265,1.0002126712085098e-05,0.03234706675989831,6.2779966356294234e-18,1.5999983271393738e-18,2.0640879153407382e-16,1.9408240883876542e-16,45045574133.45893,45045574133.45893,rank1
AR-S1,0,0,fit,cubic_bspline,48,32,1.0429914047178481e-05,1.677184001651269e-05,1.6771840015594612e-05,1.0429914045711564e-05,1.975038542762895e-05,5.425198287188247e-07,0.03234706675989831,6.2779966356294234e-18,1.5999983271393738e-18,2.0640879153407382e-16,1.9408240883876542e-16,2443292098.459204,2443292098.459204,rank1
AR-S1,0,0,fit,discrete_identity,64,32,0.0,1.677184001651269e-05,1.677184001651269e-05,0.0,1.6771840016515544e-05,5.425198287005626e-07,0.03234706675989831,6.2779966356294234e-18,1.5999983271393738e-18,2.0640879153407382e-16,1.9408240883876542e-16,2443292098.376959,2443292098.376959,rank1
AR-S1,0,1,core,cubic_bspline,32,24,0.0007721047578592939,1.2098201092383326e-12,1.2098203222421501e-12,0.000772104757859294,0.000772104757859257,2.3295760799527144e-05,0.03017176174916618,7.204382183037885e-18,9.238274559978344e-19,2.481725345293555e-16,2.387789696515479e-16,104914779656.06265,104914779656.06265,rank1
AR-S1,0,1,core,cubic_bspline,40,24,0.0004828616072989428,1.2098201092383326e-12,1.2098239539305846e-12,0.0004828616072989429,0.00048286160729897284,1.4568785373244044e-05,0.03017176174916618,7.204382183037885e-18,9.238274559978344e-19,2.481725345293555e-16,2.387789696515479e-16,65611976378.18261,65611976378.18261,rank1
AR-S1,0,1,core,cubic_bspline,48,24,7.165228360642189e-05,1.2098201092383326e-12,1.2098183079882787e-12,7.16522836064219e-05,7.165228360641976e-05,2.1618756297565825e-06,0.03017176174916618,7.204382183037885e-18,9.238274559978344e-19,2.481725345293555e-16,2.387789696515479e-16,9736222280.593102,9736222280.593102,rank1
