direction,information_set,alpha,seed,mode,active_signature,rmse_delta,mae_delta,r2_delta,r2_level_reconstructed,persistence_skill
Rod_1_to_Rod_2,dynamic,0.25,5,N2_REIDENTIFICATION,K+W+A,0.6776657727110124,0.5697381121847176,0.44215423754014027,-0.5839534354358729,0.2537371021251652
Rod_1_to_Rod_2,dynamic,0.25,6,N2_REIDENTIFICATION,A,0.5499172176147324,0.43037823145649123,0.6326520071579006,-0.04305195883707169,0.3944170814962461
Rod_1_to_Rod_2,dynamic,0.25,7,N2_REIDENTIFICATION,A,0.551485646477694,0.43146756834542216,0.6305535792008056,-0.049010258416146035,0.39268988747890365
Rod_1_to_Rod_2,dynamic,0.25,8,N2_REIDENTIFICATION,K+W+A,0.6579118033483551,0.5569392761087134,0.47420265071711554,-0.49295481616144277,0.27549067890997625
Rod_1_to_Rod_2,dynamic,0.25,9,N2_REIDENTIFICATION,A,0.5499327933385336,0.43197107227323484,0.6326311975097487,-0.04311104598247484,0.3943999291104412
Rod_1_to_Rod_2,dynamic,0.5,0,N2_REIDENTIFICATION,W+A,0.6419512761626355,0.5607348592931196,0.49940423696393155,-0.4213971530933327,0.2930668200533839
Rod_1_to_Rod_2,dynamic,0.5,1,N2_REIDENTIFICATION,K+W+A,0.6559343026289118,0.544383825934132,0.4773587029688001,-0.4839934864483211,0.2776683533283515
Rod_1_to_Rod_2,dynamic,0.5,2,N2_REIDENTIFICATION,K+W+A,0.6572129213808015,0.5505032393247132,0.47531913808592186,-0.4897846495626257,0.276260305624769
Rod_1_to_Rod_2,dynamic,0.5,3,N2_REIDENTIFICATION,W+A,0.6498282215275182,0.5707520229233098,0.4870439299844741,-0.4564931456071424,0.28439252615938515
Rod_1_to_Rod_2,dynamic,0.5,4,N2_REIDENTIFICATION,K+W+A,0.6673807740687372,0.5439076373581545,0.45895869860994587,-0.5362386625839741,0.265063205936957
Rod_1_to_Rod_2,dynamic,0.5,5,N2_REIDENTIFICATION,K+W+A,0.6697165545439652,0.5550710832477793,0.4551648667322469,-0.5470109108298842,0.2624909846791682
Rod_1_to_Rod_2,dynamic,0.5,6,N2_REIDENTIFICATION,K+W+A,0.6683601097215411,0.5545564779780237,0.4573696513250557,-0.5407506210415773,0.2639847364440536
Rod_1_to_Rod_2,dynamic,0.5,7,N2_REIDENTIFICATION,K+W+A,0.6603786434766467,0.5509965500593527,0.470252304627389,-0.5041714725942041,0.27277413140696727
Rod_1_to_Rod_2,dynamic,0.5,8,N2_REIDENTIFICATION,K+W+A,0.6534753411682995,0.5465808885162506,0.4812699053949052,-0.4728879749675199,0.2803762246408099
Rod_1_to_Rod_2,dynamic,0.5,9,N2_REIDENTIFICATION,W+A,0.6412090218293283,0.5623856704257394,0.5005611925620372,-0.4181120805561003,0.2938842095277233
Rod_1_to_Rod_2,dynamic,1.0,0,N2_REIDENTIFICATION,W+A,0.6730684446085318,0.5755619781645406,0.4496974864336667,-0.5625350509946927,0.2587997975281122
Rod_1_to_Rod_2,dynamic,1.0,1,N2_REIDENTIFICATION,W+A,0.6738550545379445,0.573762468752346,0.44841046615290514,-0.5661894306321757,0.25793356253579103
Rod_1_to_Rod_2,dynamic,1.0,2,N2_REIDENTIFICATION,K+W+A,0.6931997627094882,0.5780473787721488,0.4162863528903247,-0.657402993567958,0.2366306746521566
Rod_1_to_Rod_2,dynamic,1.0,3,N2_REIDENTIFICATION,W+A,0.6829362150734851,0.5828112756671369,0.4334433740923608,-0.608687157572396,0.24793315606667288
Rod_1_to_Rod_2,dynamic,1.0,4,N2_REIDENTIFICATION,A,0.6594170290124897,0.5469794950731371,0.4717939721503067,-0.4997940447574185,0.2738330858732513
Rod_1_to_Rod_2,dynamic,1.0,5,N2_REIDENTIFICATION,K+W+A,0.6955435636576629,0.5767330308221528,0.4123324522914019,-0.6686297427134957,0.23404962104422633
Rod_1_to_Rod_2,dynamic,1.0,6,N2_REIDENTIFICATION,A,0.6477468792621672,0.5349358057383232,0.49032457351408343,-0.4471780500397722,0.2866845535465682
Rod_1_to_Rod_2,dynamic,1.0,7,N2_REIDENTIFICATION,K+W+A,0.6930371712405473,0.5773229039006759,0.4165601433159052,-0.6566255900016527,0.23680972454026905
Rod_1_to_Rod_2,dynamic,1.0,8,N2_REIDENTIFICATION,K+W+A,0.6895807756642544,0.5793689610194079,0.42236522943473565,-0.6401425641911167,0.24061599583629056
Rod_1_to_Rod_2,dynamic,1.0,9,N2_REIDENTIFICATION,A,0.646026587869832,0.5351369170200608,0.49302817883829353,-0.4395014031428579,0.2885789824690994
