scenario,seed,variable,lag_basis_type,lag_basis_count,amplitude_basis_count,projection_surface_nrmse,identity_reference_nrmse,reference_ratio,prediction_grade_pass,structural_grade_pass
AR-S2,2,0,cubic_bspline,32,16,0.012317658001163677,7.074335835274981e-05,174.11751842121708,True,False
AR-S2,2,0,cubic_bspline,40,16,0.0038442409969245465,7.074335835274981e-05,54.34066301681477,True,False
AR-S2,2,0,discrete_identity,64,16,7.074335835274981e-05,7.074335835274981e-05,1.0,True,True
AR-S2,2,1,cubic_bspline,24,16,0.08169817230339331,0.0153720989008794,5.314705092010536,True,False
AR-S2,2,1,cubic_bspline,28,16,0.0277042394345228,0.0153720989008794,1.8022418157183409,True,True
AR-S2,2,1,cubic_bspline,32,16,0.02102569409608489,0.0153720989008794,1.36778290535732,True,True
AR-S2,2,1,cubic_bspline,40,16,0.015846261030337018,0.0153720989008794,1.0308456335413307,True,True
AR-S2,2,1,discrete_identity,64,16,0.0153720989008794,0.0153720989008794,1.0,True,True
AR-S2,2,2,cubic_bspline,24,16,0.061275707244778856,0.00027247547072475296,224.88522391315675,True,False
AR-S2,2,2,cubic_bspline,28,16,0.03856569428683129,0.00027247547072475296,141.538224282175,True,False
AR-S2,2,2,cubic_bspline,32,16,0.017102498061671162,0.00027247547072475296,62.76711080149899,True,False
AR-S2,2,2,cubic_bspline,40,16,0.0036892918435385805,0.00027247547072475296,13.53990446819119,True,False
AR-S2,2,2,discrete_identity,64,16,0.00027247547072475296,0.00027247547072475296,1.0,True,True
