direction,mother_space,support,support_mask,lambda_0,lambda_2,oof_mse,oof_se,maximum_kkt,maximum_condition
sheet2_to_sheet1,V0,[],0,10000.0,1.0,0.05649863017274685,0.025509247926126993,0.0,1.0
sheet2_to_sheet1,V0,[],0,10000.0,100.0,0.05649863017274685,0.025509247926126993,0.0,1.0
sheet2_to_sheet1,V0,[],0,10000.0,10000.0,0.05649863017274685,0.025509247926126993,0.0,1.0
sheet2_to_sheet1,V0,[],0,1000000.0,0.0,0.05649863017274685,0.025509247926126993,0.0,1.0
sheet2_to_sheet1,V0,[],0,1000000.0,0.0001,0.05649863017274685,0.025509247926126993,0.0,1.0
sheet2_to_sheet1,V0,[],0,1000000.0,0.01,0.05649863017274685,0.025509247926126993,0.0,1.0
sheet2_to_sheet1,V0,[],0,1000000.0,1.0,0.05649863017274685,0.025509247926126993,0.0,1.0
sheet2_to_sheet1,V0,[],0,1000000.0,100.0,0.05649863017274685,0.025509247926126993,0.0,1.0
sheet2_to_sheet1,V0,[],0,1000000.0,10000.0,0.05649863017274685,0.025509247926126993,0.0,1.0
sheet1_to_sheet2,V0,[0],1,1e-06,0.0,0.34556131611912144,0.17104874376674886,7.174286739764795e-16,714371.5259200498
sheet1_to_sheet2,V0,[0],1,1e-06,0.0001,0.3455278561906704,0.1710486773695192,4.999579484884071e-16,245789.65577963387
sheet1_to_sheet2,V0,[0],1,1e-06,0.01,0.3454109182032571,0.17093941758267728,3.1273004923020305e-16,29144.379280465128
sheet1_to_sheet2,V0,[0],1,1e-06,1.0,0.33985606570919524,0.1689505720240173,3.9602106152388706e-16,6800.447831111445
sheet1_to_sheet2,V0,[0],1,1e-06,100.0,0.33247787394891043,0.16309448246739533,4.154415163487356e-15,1927.1785287185887
sheet1_to_sheet2,V0,[0],1,1e-06,10000.0,0.3241140326431567,0.1441334684995885,6.366599115195928e-13,22966.984686517673
sheet1_to_sheet2,V0,[0],1,0.0001,0.0,0.34551119300261224,0.17105055594894858,4.084645368216979e-16,583755.2142225073
sheet1_to_sheet2,V0,[0],1,0.0001,0.0001,0.3455084720443461,0.171049733063807,5.148265271118406e-16,228220.17340734458
sheet1_to_sheet2,V0,[0],1,0.0001,0.01,0.345395426427675,0.17093910120660313,6.684549024369398e-16,28880.752161370765
sheet1_to_sheet2,V0,[0],1,0.0001,1.0,0.3398493865138676,0.16895055319356556,4.354259914119658e-16,6786.000611247118
sheet1_to_sheet2,V0,[0],1,0.0001,100.0,0.33247713319666305,0.16309582326123853,3.810985295850535e-15,1926.9423639088304
sheet1_to_sheet2,V0,[0],1,0.0001,10000.0,0.32411272722034856,0.1441342463255143,6.73025851729415e-13,22966.649062352655
sheet1_to_sheet2,V0,[0],1,0.01,0.0,0.3447935805015133,0.1711039209413824,6.035535932520683e-16,30272.25099366775
sheet1_to_sheet2,V0,[0],1,0.01,0.0001,0.3447927739244375,0.17110176539065125,3.373261905271858e-16,28009.513774888528
sheet1_to_sheet2,V0,[0],1,0.01,0.01,0.34465763642356784,0.17098040671672743,3.9519749907324424e-16,15164.265016835718
sheet1_to_sheet2,V0,[0],1,0.01,1.0,0.3393628956072946,0.16898424143398308,5.084136908953947e-16,5596.985855577575
sheet1_to_sheet2,V0,[0],1,0.01,100.0,0.3324038228596293,0.16322854050982813,3.589059068918623e-15,1903.6147930777017
sheet1_to_sheet2,V0,[0],1,0.01,10000.0,0.3239826875198514,0.1442120671114263,5.883645993679691e-13,22933.136108949628
sheet1_to_sheet2,V0,[0],1,1.0,0.0,0.3369013197137458,0.17229704680613753,3.7870396858801426e-16,316.9363936714652
sheet1_to_sheet2,V0,[0],1,1.0,0.0001,0.33690071577175,0.1722967345463071,3.3220892716632315e-16,316.6694085216968
sheet1_to_sheet2,V0,[0],1,1.0,0.01,0.3368424480433645,0.17226655183111567,3.1343935643013164e-16,313.6757835218181
sheet1_to_sheet2,V0,[0],1,1.0,1.0,0.3345365144062691,0.17137924051765385,3.905524717046955e-16,303.09111278426195
sheet1_to_sheet2,V0,[0],1,1.0,100.0,0.32808844663782566,0.17019152216217767,3.1902404526284315e-15,861.4332091903373
sheet1_to_sheet2,V0,[0],1,1.0,10000.0,0.3150483755333852,0.15210397358766095,7.968890522074789e-13,20012.874557018065
sheet1_to_sheet2,V0,[0],1,100.0,0.0,0.36640695029811965,0.22190202928199804,2.953574198908135e-16,4.160744696313567
sheet1_to_sheet2,V0,[0],1,100.0,0.0001,0.3664069580224918,0.2219020316940143,2.131256229266966e-16,4.16070970528493
sheet1_to_sheet2,V0,[0],1,100.0,0.01,0.36640772251170284,0.2219022703994353,2.2121436409945639e-16,4.16032238871775
sheet1_to_sheet2,V0,[0],1,100.0,1.0,0.36648216676665424,0.22192540463311675,3.239024808305587e-16,4.159894464814302
sheet1_to_sheet2,V0,[0],1,100.0,100.0,0.3702760753167247,0.22326943269938118,7.070032818188103e-16,16.426507960475224
sheet1_to_sheet2,V0,[0],1,100.0,10000.0,0.3910145789061793,0.23342018726048822,3.5847917628490926e-14,1458.066042753759
sheet1_to_sheet2,V0,[0],1,10000.0,0.0,0.4222757968325763,0.23395745002730198,2.7650009018450824e-16,1.0316075851000432
sheet1_to_sheet2,V0,[0],1,10000.0,0.0001,0.42227579683516425,0.23395745002738336,2.9789760655881647e-16,1.0316074991307966
sheet1_to_sheet2,V0,[0],1,10000.0,0.01,0.4222757970913709,0.23395745003544588,2.989053839893834e-16,1.0316066167370057
sheet1_to_sheet2,V0,[0],1,10000.0,1.0,0.42227582270464287,0.23395745084211741,2.28869255741644e-16,1.0316134890952382
sheet1_to_sheet2,V0,[0],1,10000.0,100.0,0.42227831627997187,0.2339575344713958,2.868317034763116e-16,1.1554981024971833
sheet1_to_sheet2,V0,[0],1,10000.0,10000.0,0.42238622346973026,0.2339560316195331,1.079718029561234e-15,16.547179930322613
sheet1_to_sheet2,V0,[0],1,1000000.0,0.0,0.4231146087727291,0.23379563666452055,2.7289407683461573e-16,1.0003160758648146
sheet1_to_sheet2,V0,[0],1,1000000.0,0.0001,0.42311460877272944,0.23379563666452058,1.68915379666995e-16,1.0003160750315163
sheet1_to_sheet2,V0,[0],1,1000000.0,0.01,0.4231146087727554,0.23379563666452113,1.950370904246238e-16,1.0003160665066917
