scenario,seed,variable,distribution,rank,normalized_excess_rmse,validation_contribution_r2,empirical_operator_nrmse,modal_gains,refit_intercept
AR-S4U,0,0,PERM,7,0.008730868547142515,0.9995253394269568,0.021786706337655212,"[0.9999930620250452, 1.0000136737071246, 0.9998184721174491, 1.0005353818853464, 0.9996681480155974, 1.0054595758006148, 1.021229159181156]",-0.003125291745061392
AR-S4U,0,0,PERM,8,0.004854247584853516,0.9995780037729292,0.020542546752308967,"[0.9999860336221412, 1.0000218167371202, 1.0000844287833393, 1.0001361148933552, 0.9991316383054305, 1.0004707446044903, 1.0130662561171966, 0.9823952547967854]",-0.0031253381195701173
AR-S4U,0,0,PERM,9,0.004350655528030323,0.9995826392890207,0.020429407993853472,"[0.9999528992075356, 1.0000371930507235, 1.0000774238016747, 1.0000216431673747, 0.9993586583541028, 0.9996045135466386, 1.013324940545213, 0.99336829267065, 0.9811704825294896]",-0.0031252993287005774
AR-S4U,0,0,PERM,10,0.0037420248586633987,0.9995875647425014,0.02030850209884024,"[0.9999512026853656, 0.9999966824800549, 1.000001626507772, 1.0001652947822282, 1.0002319906606059, 0.9996999689582796, 1.0141686462672728, 0.9921392076192354, 0.9528151947290647, 0.9998875196986807]",-0.003125179088995901
AR-S4U,0,0,PERM,11,0.0027493504184411947,0.9995940085648208,0.02014922914602755,"[0.9999423429525095, 0.9999500694088215, 0.9999872958798562, 1.0002681814208443, 1.0003367612799483, 0.9979668972125383, 1.0111976029405736, 0.9901756322949073, 0.9503284088120334, 0.9887242256441581, 1.0278270999042352]",-0.003125468062022428
AR-S4U,0,0,PERM,12,0.0024597486486758104,0.9995955171291296,0.02011175951701904,"[0.9999451021546393, 1.0000015266204612, 1.000050952469281, 1.0002616225576932, 1.0002628195550993, 0.9976049257864228, 1.0087314199308752, 0.9795177644875136, 0.9395164569426351, 0.9826715683245469, 1.0311962466978475, 0.9329956725956791]",-0.003125432233546608
AR-S4U,0,1,PERM,1,0.6680018462065656,0.5534083977381419,0.6682750947490548,[0.9451071124005839],0.009229130268044098
AR-S4U,0,1,PERM,2,0.3148229528802101,0.900521372613307,0.31540232622270403,"[1.0190362043133019, 0.9993065862991172]",0.009821694839501183
AR-S4U,0,1,PERM,3,0.19147630612662894,0.9629716884656234,0.1924274188736536,"[1.0043910726135166, 0.9922966510699113, 1.0071868513336868]",0.009879972143472637
AR-S4U,0,1,PERM,4,0.08594870760201796,0.9922476839350648,0.08804723769054436,"[0.9985142067155099, 1.0017021506743413, 1.0011277909938017, 1.0120765586859266]",0.009887474002443693
AR-S4U,0,1,PERM,5,0.0385482922236707,0.9981488934401604,0.04302448790909127,"[1.0000084890710317, 1.0002027649127525, 0.9985370604417496, 1.0002837984732211, 0.9914168025293058]",0.009882103423066238
AR-S4U,0,1,PERM,6,0.01618411514176664,0.9993729386906,0.025041192251967367,"[1.0004619059853332, 1.0003649288693213, 0.999559106273881, 0.9996960511423406, 1.0000079801254662, 1.0006890888071511]",0.009882086748845002
AR-S4U,0,1,PERM,7,0.010591606573678322,0.9995226821437104,0.021847605275856122,"[1.000284533543409, 0.9998334612025741, 0.9996824137776413, 1.0004895580673605, 1.0002162774573304, 0.9977821637072197, 0.9983738563803416]",0.009880327733320173
AR-S4U,0,1,PERM,8,0.00744516492460204,0.9995794337927675,0.0205077109213231,"[1.00016859992284, 0.9999296833451798, 1.000108962303579, 1.0003608309571588, 1.0007869379959882, 0.9945552208171108, 0.9942632403329299, 0.9543996540900199]",0.009880360905793738
AR-S4U,0,1,PERM,9,0.007188865450269739,0.9995831844870599,0.020416060171838057,"[1.000158522450001, 0.9999807129968507, 1.0000569824780097, 1.000381967206283, 1.000626819458104, 0.9945780085823559, 0.9990321684208806, 0.9567413998939505, 0.9802594175413653]",0.009880299714566198
AR-S4U,0,1,PERM,10,0.006835583342660389,0.9995881390738875,0.0202943570017009,"[1.000147304909701, 1.0000090400454216, 1.0000488482035277, 1.0004314957278204, 1.0007729755700046, 0.9981901078998001, 1.003334114306537, 0.9589318925102205, 0.9996211887408814, 1.0006718548377591]",0.009880438321214222
