scenario,seed,variable,lag_basis_type,lag_basis_count,amplitude_basis_count,surface_nrmse,domain_lower,domain_upper
AR-S1,3,2,cubic_bspline,32,24,0.00032659953895064806,-4.258390977256904,3.9300586486037954
AR-S1,3,2,discrete_identity,64,24,0.00012184097571970491,-4.258390977256904,3.9300586486037954
AR-S1,4,0,cubic_bspline,32,16,0.003993765869927265,-4.366381614835827,3.9993204059692293
AR-S1,4,0,discrete_identity,64,16,0.0009719031155062505,-4.366381614835827,3.9993204059692293
AR-S1,4,0,cubic_bspline,32,20,0.0038798303396809816,-4.366381614835827,3.9993204059692293
AR-S1,4,0,discrete_identity,64,20,0.0002179445924934573,-4.366381614835827,3.9993204059692293
AR-S1,4,0,cubic_bspline,32,24,0.003874310698065699,-4.366381614835827,3.9993204059692293
AR-S1,4,0,discrete_identity,64,24,6.855015378809317e-05,-4.366381614835827,3.9993204059692293
AR-S1,4,1,cubic_bspline,32,16,0.0007721047578592226,-4.124539588728646,4.759383036705095
AR-S1,4,1,discrete_identity,64,16,1.5410299398045705e-15,-4.124539588728646,4.759383036705095
AR-S1,4,1,cubic_bspline,32,20,0.0007721047578592348,-4.124539588728646,4.759383036705095
AR-S1,4,1,discrete_identity,64,20,1.2783379265939256e-15,-4.124539588728646,4.759383036705095
AR-S1,4,1,cubic_bspline,32,24,0.0007721047578592528,-4.124539588728646,4.759383036705095
AR-S1,4,1,discrete_identity,64,24,1.6061547065395583e-15,-4.124539588728646,4.759383036705095
AR-S1,4,2,cubic_bspline,32,16,0.0013561935035164175,-4.087787184343996,4.596657531489536
AR-S1,4,2,discrete_identity,64,16,0.0013219073124058102,-4.087787184343996,4.596657531489536
AR-S1,4,2,cubic_bspline,32,20,0.0004967099509990781,-4.087787184343996,4.596657531489536
AR-S1,4,2,discrete_identity,64,20,0.0003935717886270121,-4.087787184343996,4.596657531489536
AR-S1,4,2,cubic_bspline,32,24,0.00034128671126238633,-4.087787184343996,4.596657531489536
AR-S1,4,2,discrete_identity,64,24,0.00015701778468238883,-4.087787184343996,4.596657531489536
AR-S2,0,0,cubic_bspline,32,16,0.01239336204279663,-4.067165448049297,4.649118871680332
AR-S2,0,0,discrete_identity,64,16,0.0013696760864191657,-4.067165448049297,4.649118871680332
AR-S2,0,0,cubic_bspline,32,20,0.012320480738023736,-4.067165448049297,4.649118871680332
AR-S2,0,0,discrete_identity,64,20,0.00027306072288378375,-4.067165448049297,4.649118871680332
AR-S2,0,0,cubic_bspline,32,24,0.01231772986136022,-4.067165448049297,4.649118871680332
AR-S2,0,0,discrete_identity,64,24,8.231157388596772e-05,-4.067165448049297,4.649118871680332
AR-S2,0,1,cubic_bspline,32,16,0.014346672953089586,-4.521443420064528,5.213319289809546
AR-S2,0,1,discrete_identity,64,16,1.490918796192556e-15,-4.521443420064528,5.213319289809546
AR-S2,0,1,cubic_bspline,32,20,0.014346672953089584,-4.521443420064528,5.213319289809546
AR-S2,0,1,discrete_identity,64,20,1.0206342187005094e-15,-4.521443420064528,5.213319289809546
AR-S2,0,1,cubic_bspline,32,24,0.014346672953089569,-4.521443420064528,5.213319289809546
AR-S2,0,1,discrete_identity,64,24,1.1592131929969141e-15,-4.521443420064528,5.213319289809546
AR-S2,0,2,cubic_bspline,32,16,0.017171153784950915,-4.415293150630278,4.565560524506193
AR-S2,0,2,discrete_identity,64,16,0.0015582084365055808,-4.415293150630278,4.565560524506193
AR-S2,0,2,cubic_bspline,32,20,0.017106483521577516,-4.415293150630278,4.565560524506193
AR-S2,0,2,discrete_identity,64,20,0.00045893494813892266,-4.415293150630278,4.565560524506193
AR-S2,0,2,cubic_bspline,32,24,0.017101296326401127,-4.415293150630278,4.565560524506193
AR-S2,0,2,discrete_identity,64,24,0.00018200811215890423,-4.415293150630278,4.565560524506193
AR-S2,1,0,cubic_bspline,32,16,0.012395511871771311,-4.467411914119744,4.780628086959977
AR-S2,1,0,discrete_identity,64,16,0.0013889969430306236,-4.467411914119744,4.780628086959977
AR-S2,1,0,cubic_bspline,32,20,0.012322459152738772,-4.467411914119744,4.780628086959977
AR-S2,1,0,discrete_identity,64,20,0.00035117447421511433,-4.467411914119744,4.780628086959977
