scenario,seed,variable,lag_basis_type,lag_basis_count,amplitude_basis_count,surface_nrmse,domain_lower,domain_upper
AR-S2,1,2,cubic_bspline,32,16,0.01712727321781266,-2.366730063244457,2.3065707433754934
AR-S2,1,2,discrete_identity,64,16,0.0009604888703315428,-2.366730063244457,2.3065707433754934
AR-S2,1,2,cubic_bspline,32,20,0.01710277590479973,-2.366730063244457,2.3065707433754934
AR-S2,1,2,discrete_identity,64,20,0.00028939482091987364,-2.366730063244457,2.3065707433754934
AR-S2,1,2,cubic_bspline,32,24,0.017100721787120715,-2.366730063244457,2.3065707433754934
AR-S2,1,2,discrete_identity,64,24,0.00011606378479618677,-2.366730063244457,2.3065707433754934
AR-S2,2,0,cubic_bspline,32,16,0.012392152815451118,-2.3133211636758695,2.344471142114899
AR-S2,2,0,discrete_identity,64,16,0.0013586893358818921,-2.3133211636758695,2.344471142114899
AR-S2,2,0,cubic_bspline,32,20,0.012325020044378984,-2.3133211636758695,2.344471142114899
AR-S2,2,0,discrete_identity,64,20,0.0004318015895149374,-2.3133211636758695,2.344471142114899
AR-S2,2,0,cubic_bspline,32,24,0.012318325097168393,-2.3133211636758695,2.344471142114899
AR-S2,2,0,discrete_identity,64,24,0.00014642978683937382,-2.3133211636758695,2.344471142114899
AR-S2,2,1,cubic_bspline,32,16,0.014346672953089607,-2.354143431190532,2.422729511205041
AR-S2,2,1,discrete_identity,64,16,1.4884404549802443e-15,-2.354143431190532,2.422729511205041
AR-S2,2,1,cubic_bspline,32,20,0.014346672953089586,-2.354143431190532,2.422729511205041
AR-S2,2,1,discrete_identity,64,20,1.3587000529809263e-15,-2.354143431190532,2.422729511205041
AR-S2,2,1,cubic_bspline,32,24,0.014346672953089569,-2.354143431190532,2.422729511205041
AR-S2,2,1,discrete_identity,64,24,1.9599357959666363e-15,-2.354143431190532,2.422729511205041
AR-S2,2,2,cubic_bspline,32,16,0.017259288533379137,-2.3669960129718848,2.312013011057594
AR-S2,2,2,discrete_identity,64,16,0.002337395884465062,-2.3669960129718848,2.312013011057594
AR-S2,2,2,cubic_bspline,32,20,0.017114778046969037,-2.3669960129718848,2.312013011057594
AR-S2,2,2,discrete_identity,64,20,0.0007032449341584661,-2.3669960129718848,2.312013011057594
AR-S2,2,2,cubic_bspline,32,24,0.017102588521929595,-2.3669960129718848,2.312013011057594
AR-S2,2,2,discrete_identity,64,24,0.00027809708411618926,-2.3669960129718848,2.312013011057594
AR-S2,3,0,cubic_bspline,32,16,0.012351606192592537,-2.326804680537102,2.3631348952527333
AR-S2,3,0,discrete_identity,64,16,0.0009179371476474306,-2.326804680537102,2.3631348952527333
AR-S2,3,0,cubic_bspline,32,20,0.012320443118016418,-2.326804680537102,2.3631348952527333
AR-S2,3,0,discrete_identity,64,20,0.00027135774538721453,-2.326804680537102,2.3631348952527333
AR-S2,3,0,cubic_bspline,32,24,0.012317803893562662,-2.326804680537102,2.3631348952527333
AR-S2,3,0,discrete_identity,64,24,9.273238253291996e-05,-2.326804680537102,2.3631348952527333
AR-S2,3,1,cubic_bspline,32,16,0.01434667295308963,-2.3280646473944784,2.262073526523283
AR-S2,3,1,discrete_identity,64,16,1.2857657097204785e-15,-2.3280646473944784,2.262073526523283
AR-S2,3,1,cubic_bspline,32,20,0.014346672953089603,-2.3280646473944784,2.262073526523283
AR-S2,3,1,discrete_identity,64,20,1.1705979651189994e-15,-2.3280646473944784,2.262073526523283
AR-S2,3,1,cubic_bspline,32,24,0.014346672953089619,-2.3280646473944784,2.262073526523283
AR-S2,3,1,discrete_identity,64,24,1.76347955883807e-15,-2.3280646473944784,2.262073526523283
AR-S2,3,2,cubic_bspline,32,16,0.017129752153606487,-2.4435492940513197,2.1917242862147535
