scenario,seed,partition,r2_y_x_truth,r2_y_ar_truth,r2_y_xar_truth,r2_x_self,target_variance,x_variance_ratio,ar_variance_ratio,process_variance_ratio,noise_variance_ratio,active_contribution_variances
AR-S4,1,validation,0.23104346421058353,0.9081711699614573,0.9847933804303063,1.0,7.179097772108811,0.07580699556947025,0.7427682362672526,0.005480075736258914,0.009819284600012915,"[0.20846612795957786, 0.14024669362310466, 0.18765255174560683, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S4,1,test,0.2511771321480246,0.8791218760218279,0.9840923619786863,1.0,7.07366318707496,0.10602505194449764,0.7378014340220014,0.005682710814805577,0.009835422094103777,"[0.202501369714538, 0.2536252958455877, 0.18499031797956725, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S4,2,train,0.24403000074890102,0.8947561288463912,0.9841711090407469,1.0,7.056138073136354,0.08780099660546979,0.739714327604805,0.005678659140651135,0.010325980396986437,"[0.19913795972384987, 0.20283505896198806, 0.19398768109424191, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S4,2,validation,0.2434259468911567,0.8870901650628048,0.9810968799959376,1.0,6.15119877438541,0.09663092147211964,0.7405630318530919,0.006740525965676354,0.011783087389371888,"[0.20835845799758304, 0.1838196887264184, 0.1963507424601946, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S4,2,test,0.1904100252499601,0.9048217322208367,0.9856408279863055,1.0,7.715735046445024,0.0789296656948699,0.7445796728688306,0.00519449687545313,0.008540094895559241,"[0.1751007035109952, 0.22533341334238674, 0.19043419466504102, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S4,3,train,0.1980365292638956,0.897309378881891,0.9833127970469904,1.0,6.527177755667313,0.0838086736149387,0.7407984946551993,0.006339895826863446,0.010083764199746876,"[0.21363216658819612, 0.1389469409486785, 0.1931337658227827, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S4,3,validation,0.2415452121495696,0.905205281021501,0.985027004668294,1.0,6.696133905604449,0.07835063689968005,0.7469291651835855,0.005872751194421619,0.00955023124287544,"[0.20351226956989488, 0.16517070703084463, 0.162400100588112, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S4,3,test,0.2390997811050738,0.8891979681883813,0.9836442559326892,1.0,6.331199984603734,0.09245040651622936,0.7351204589802849,0.006239051022014664,0.010566970375779488,"[0.2221245664504182, 0.1849586133174557, 0.19456837723598605, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S4,4,train,0.23641054294010588,0.9114819868367791,0.984233350160661,1.0,7.32723643043233,0.07256125176388795,0.7460304040531894,0.0055347149365740705,0.010370008058007666,"[0.19576322020470438, 0.14447639760191236, 0.18242152648355045, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
AR-S4,4,validation,0.24216690630938842,0.8932681567902063,0.9849676103799164,1.0,7.362431309231573,0.0913760349484179,0.7372111789487107,0.00509777734483183,0.010282861283625617,"[0.19489823548975202, 0.2637485303153047, 0.19686524323495613, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
