scenario,seed,variable,rank,validation_contribution_r2,empirical_operator_nrmse,normalized_excess_rmse,core_surface_nrmse,modal_gains,refit_intercept
AR-S4U,1,1,2,0.9530986864100713,0.21656711105319898,0.2164037008893909,0.21577755493268963,"[0.9998687209332655, 0.9996794920416574]",0.37824949347471404
AR-S4U,1,1,3,0.9821243768698078,0.1336997499256906,0.13343489535683137,0.13319809712816214,"[0.9999149268210934, 0.9998368176705359, 1.0003887096829585]",0.37824987171462077
AR-S4U,1,1,4,0.9962885095521078,0.06092200298654219,0.060338533430873094,0.06058502267202917,"[0.9999624872238453, 0.9998956031985796, 0.9991589274089961, 0.9999256959701596]",0.37825032357272964
AR-S4U,1,1,5,0.9991810703548196,0.028616946817933416,0.027352839228803376,0.02891959346446721,"[0.9999613117981092, 1.0000222437930473, 0.999628264677555, 1.0000506922287338, 0.9992044430670045]",0.37825161004706753
AR-S4U,1,1,6,0.9998135332895177,0.013655281413513371,0.010757085068854814,0.013686984753649073,"[0.9999914107537056, 1.0000010596813842, 1.0000311974462597, 0.9998212649308511, 1.0005325474469187, 1.0023213318944344]",0.3782515976791275
AR-S4U,1,1,7,0.9999080560049494,0.009588743142382873,0.0046034947319324665,0.009466289432159977,"[1.0000119125587688, 0.9999721202849399, 0.999970330652606, 1.0001393190910992, 1.000434490562398, 1.0003021961966105, 1.0055569896318508]",0.37825200490862226
AR-S4U,1,1,8,0.9999294390007449,0.008400059479259541,0.0,0.008208469018781311,"[1.000000271603552, 1.0000013265411103, 1.000021854401142, 1.00010607180748, 1.0005204802924301, 1.0013552578690392, 1.00263878027219, 1.0048082404965244]",0.3782521465367542
AR-S4U,1,1,9,0.9999305821371662,0.008331738284042052,0.0,0.008120039611031747,"[0.9999989059005714, 1.0000015333051238, 1.000033234911754, 1.0001394768867562, 1.0005192080571512, 1.0010968833409666, 1.002814664564461, 1.0056543300903544, 1.010891871813419]",0.37825216436303427
AR-S4U,1,1,10,0.9999303793207825,0.008343900719531656,0.0,0.008117227509350846,"[1.0000001598548702, 1.0000015254192567, 1.0000333534811665, 1.000134532329658, 1.0005312099624546, 1.0011148752182273, 1.003023860331868, 1.0054182220385497, 1.0114591571356575, 1.0243114010486378]",0.3782521836402045
AR-S4U,1,1,11,0.999929853242539,0.008375366109071377,0.0,0.008121838257540549,"[0.999999169967819, 1.0000007626124807, 1.000035756970061, 1.0001365886397717, 1.0005199366378104, 1.0011080316379892, 1.0033394541274916, 1.0049668902716429, 1.0117803051171386, 1.0291639794053735, 1.0084184182345568]",0.37825218188288406
AR-S4U,1,1,12,0.9999295178209694,0.00839536652151363,0.0,0.008124776853361259,"[1.0000008467734907, 1.0000006461722544, 1.0000382751636754, 1.000131944236158, 1.0005084989524209, 1.0011155994210235, 1.003384927731395, 1.0049620104183707, 1.0128798875451095, 1.0225338860232125, 1.015038423781784, 1.0164982634327453]",0.378252173651179
AR-S4U,1,2,1,0.6341106643809074,0.6048878702859669,0.6047922078477372,0.6063895020825492,[1.000964420927759],0.004570003468401024
AR-S4U,1,2,2,0.8674619019008062,0.3640578224666981,0.36389885566382557,0.3629457217380495,"[1.0000925003074208, 1.0006508245371606]",0.004574648259023887
AR-S4U,1,2,3,0.9452611437372549,0.23396336521503777,0.23371592867623095,0.2338103064652493,"[0.9999393432684903, 0.9993326737754084, 0.9984951884904697]",0.004571142974282479
AR-S4U,1,2,4,0.9902312058333558,0.09883721043536295,0.09825005455923241,0.09773173688311108,"[0.9999730331419228, 0.9996524229655593, 0.9992966178882344, 1.000761890927038]",0.004570676990065396
AR-S4U,1,2,5,0.9977229974368731,0.04771794801882089,0.04648958611748246,0.0479613642952153,"[1.0000374587205738, 1.000130272485315, 1.0000691397151507, 0.999655372559136, 1.0001194680482182]",0.004573791707017864
