task,Lx,Ly,horizon,fold,block,block_index,ridge_alpha,eigen_index,eigenvalue,trace,effective_rank,entropy_rank,lambda1_fraction,lambda10_over_lambda1,condition_estimate,coercive_dimension_1e-2,coercive_dimension_1e-3,coercive_dimension_1e-4
medium,256,32,15,2,晶升速度,1,1e-08,14,0.39989255481972863,42.614326740710176,6.3360500732960965,10.343439699359084,0.30439370365231017,0.05453986380349639,785277.297533877,22,37,48
medium,256,32,15,2,晶升速度,1,1e-08,15,0.36766181030026024,42.614326740710176,6.3360500732960965,10.343439699359084,0.30439370365231017,0.05453986380349639,785277.297533877,22,37,48
medium,256,32,15,2,晶升速度,1,1e-08,16,0.34893028634598183,42.614326740710176,6.3360500732960965,10.343439699359084,0.30439370365231017,0.05453986380349639,785277.297533877,22,37,48
medium,256,32,15,2,晶升速度,1,1e-08,17,0.2913248709244873,42.614326740710176,6.3360500732960965,10.343439699359084,0.30439370365231017,0.05453986380349639,785277.297533877,22,37,48
medium,256,32,15,2,晶升速度,1,1e-08,18,0.22659270871339057,42.614326740710176,6.3360500732960965,10.343439699359084,0.30439370365231017,0.05453986380349639,785277.297533877,22,37,48
medium,256,32,15,2,晶升速度,1,1e-08,19,0.1766174959533402,42.614326740710176,6.3360500732960965,10.343439699359084,0.30439370365231017,0.05453986380349639,785277.297533877,22,37,48
medium,256,32,15,2,晶升速度,1,1e-08,20,0.15939138786268003,42.614326740710176,6.3360500732960965,10.343439699359084,0.30439370365231017,0.05453986380349639,785277.297533877,22,37,48
medium,256,32,15,2,晶转速度,2,0.01,1,21.56115608057885,51.56839676825578,3.568053234842463,4.420196669371061,0.41810793881130237,0.0026999551490377704,2597407.002315957,7,11,23
medium,256,32,15,2,晶转速度,2,0.01,2,12.98359240206161,51.56839676825578,3.568053234842463,4.420196669371061,0.41810793881130237,0.0026999551490377704,2597407.002315957,7,11,23
medium,256,32,15,2,晶转速度,2,0.01,3,9.354409088989051,51.56839676825578,3.568053234842463,4.420196669371061,0.41810793881130237,0.0026999551490377704,2597407.002315957,7,11,23
medium,256,32,15,2,晶转速度,2,0.01,4,4.410868036321295,51.56839676825578,3.568053234842463,4.420196669371061,0.41810793881130237,0.0026999551490377704,2597407.002315957,7,11,23
medium,256,32,15,2,晶转速度,2,0.01,5,2.134477951699994,51.56839676825578,3.568053234842463,4.420196669371061,0.41810793881130237,0.0026999551490377704,2597407.002315957,7,11,23
medium,256,32,15,2,晶转速度,2,0.01,6,0.49132306417601224,51.56839676825578,3.568053234842463,4.420196669371061,0.41810793881130237,0.0026999551490377704,2597407.002315957,7,11,23
medium,256,32,15,2,晶转速度,2,0.01,7,0.25923293208232756,51.56839676825578,3.568053234842463,4.420196669371061,0.41810793881130237,0.0026999551490377704,2597407.002315957,7,11,23
medium,256,32,15,2,晶转速度,2,0.01,8,0.12018041928238236,51.56839676825578,3.568053234842463,4.420196669371061,0.41810793881130237,0.0026999551490377704,2597407.002315957,7,11,23
medium,256,32,15,2,晶转速度,2,0.01,9,0.08278595120126946,51.56839676825578,3.568053234842463,4.420196669371061,0.41810793881130237,0.0026999551490377704,2597407.002315957,7,11,23
medium,256,32,15,2,晶转速度,2,0.01,10,0.0582141543789659,51.56839676825578,3.568053234842463,4.420196669371061,0.41810793881130237,0.0026999551490377704,2597407.002315957,7,11,23
medium,256,32,15,2,晶转速度,2,0.01,11,0.022176246248991206,51.56839676825578,3.568053234842463,4.420196669371061,0.41810793881130237,0.0026999551490377704,2597407.002315957,7,11,23
medium,256,32,15,2,晶转速度,2,0.01,12,0.01563226876011036,51.56839676825578,3.568053234842463,4.420196669371061,0.41810793881130237,0.0026999551490377704,2597407.002315957,7,11,23
medium,256,32,15,2,晶转速度,2,0.01,13,0.011362941232994177,51.56839676825578,3.568053234842463,4.420196669371061,0.41810793881130237,0.0026999551490377704,2597407.002315957,7,11,23
medium,256,32,15,2,晶转速度,2,0.01,14,0.008277192227276901,51.56839676825578,3.568053234842463,4.420196669371061,0.41810793881130237,0.0026999551490377704,2597407.002315957,7,11,23
medium,256,32,15,2,晶转速度,2,0.01,15,0.00634597983619438,51.56839676825578,3.568053234842463,4.420196669371061,0.41810793881130237,0.0026999551490377704,2597407.002315957,7,11,23
medium,256,32,15,2,晶转速度,2,0.01,16,0.005624858129099731,51.56839676825578,3.568053234842463,4.420196669371061,0.41810793881130237,0.0026999551490377704,2597407.002315957,7,11,23
medium,256,32,15,2,晶转速度,2,0.01,17,0.005018881067009811,51.56839676825578,3.568053234842463,4.420196669371061,0.41810793881130237,0.0026999551490377704,2597407.002315957,7,11,23
medium,256,32,15,2,晶转速度,2,0.01,18,0.004618470015182108,51.56839676825578,3.568053234842463,4.420196669371061,0.41810793881130237,0.0026999551490377704,2597407.002315957,7,11,23
medium,256,32,15,2,晶转速度,2,0.01,19,0.003984453085453473,51.56839676825578,3.568053234842463,4.420196669371061,0.41810793881130237,0.0026999551490377704,2597407.002315957,7,11,23
medium,256,32,15,2,晶转速度,2,0.01,20,0.0037639501669507157,51.56839676825578,3.568053234842463,4.420196669371061,0.41810793881130237,0.0026999551490377704,2597407.002315957,7,11,23
medium,256,32,15,2,埚升速度,3,1e-08,1,13.008211346965545,42.83624383040148,6.335435832047038,10.288861060546504,0.3036730157403165,0.05459949396846276,930991.8444340423,22,37,48
medium,256,32,15,2,埚升速度,3,1e-08,2,7.844750697318936,42.83624383040148,6.335435832047038,10.288861060546504,0.3036730157403165,0.05459949396846276,930991.8444340423,22,37,48
