scenario,seed,variable,distribution,rank,normalized_excess_rmse,validation_contribution_r2,empirical_operator_nrmse,modal_gains,refit_intercept
AR-S4U,1,0,NAT,12,0.0,0.9998385644597279,0.012705728639954823,"[1.0000835120435805, 1.000039628686565, 1.0001008957371826, 1.0009431131653086, 1.0045936827754551, 1.0160277733945442, 1.045050447163272, 1.1092520333640348, 1.0761984949314438, 1.0382989765095652, 1.180637724795158, 0.9255781057525441]",-0.039985375619699094
AR-S4U,1,1,NAT,1,0.7245024195026637,0.4749486996126313,0.7246042370752249,[0.9442537093920329],0.0030674400989273575
AR-S4U,1,1,NAT,2,0.22942843883794248,0.9472150469302295,0.22974976184921395,"[1.0086847675552753, 0.9978157291844599]",0.0028552615541756385
AR-S4U,1,1,NAT,3,0.14274593320176732,0.9794760540322016,0.14326180917396802,"[1.0008838989646456, 0.998883098983165, 0.9781313074945905]",0.002519013000268579
AR-S4U,1,1,NAT,4,0.06279889555237914,0.9959087541952464,0.06396284706572744,"[1.001360242819015, 0.9998703010559851, 0.9912909774780663, 0.9975550799621128]",0.0025537942051158335
AR-S4U,1,1,NAT,5,0.0283492792337374,0.9990487738447725,0.030841954465102052,"[1.0006584035957695, 0.9998417095688531, 0.9956395419961457, 1.000434759653855, 1.010500980345958]",0.0025285778460892847
AR-S4U,1,1,NAT,6,0.01200580208975601,0.9997083161940266,0.01707875305674872,"[1.000210239945972, 1.0005441621984879, 0.9986287006858459, 0.9979042311701136, 1.0106541860201226, 1.0187306925460469]",0.002537619957164664
AR-S4U,1,1,NAT,7,0.005559635618112132,0.9998215459296388,0.013358670231770635,"[0.9998866174773802, 0.9999840548779149, 0.9999120263231532, 0.998343825940624, 1.0080962030563747, 1.0155428421038346, 1.0676568591028404]",0.0025295199295211654
AR-S4U,1,1,NAT,8,0.0013355355031039401,0.9998506718227649,0.01221999088522839,"[1.0000329791912221, 1.0000740483740487, 1.0002140798121972, 1.0002672743782515, 1.0076420966265671, 1.0131697902272225, 1.0558448581001707, 1.055064141803004]",0.002527801843940763
AR-S4U,1,1,NAT,9,0.0014268663974861006,0.9998504195301288,0.012230309475695568,"[1.000016591186906, 1.0000491494545516, 1.0000373468773627, 1.0006777247791556, 1.0063755896385334, 1.0104759569362347, 1.048530676013112, 1.0501384775444829, 1.144042146774818]",0.002529260150751124
AR-S4U,1,1,NAT,10,0.0020977421716240276,0.9998480549556263,0.012326599059498275,"[1.0000262948378866, 1.0000264642402872, 1.000035921716582, 1.0008884745808322, 1.0066515371645433, 1.009975122778663, 1.0440363892045161, 1.052898197939224, 1.1607189784430136, 1.1346967353802517]",0.002529320753569616
AR-S4U,1,1,NAT,11,0.0018167458543096287,0.9998491549123458,0.012281900816004217,"[1.000010151461109, 1.0000380409049137, 1.0000933067682318, 1.0009789166726784, 1.005854469646612, 1.0096994760162692, 1.0404511970867332, 1.0586032668008467, 1.1575304671479134, 1.132732367113781, 1.1118584700063612]",0.0025291503894646775
AR-S4U,1,1,NAT,12,0.001666595767629858,0.9998496779363923,0.012260589855618514,"[0.9999891999584705, 1.0000278078014062, 1.0000661567684883, 1.0006041711708764, 1.0038731132042704, 1.0079963976370938, 1.0421964915365212, 1.0565414769550858, 1.1337728545798833, 1.0892903498246194, 1.1202998299283675, 0.9887621388123369]",0.00252931159991126
AR-S4U,1,2,NAT,1,0.41076227563092826,0.8310626500362815,0.4110198899855316,[1.0216478906017534],-0.03947191468669401
AR-S4U,1,2,NAT,2,0.2618536757545434,0.9312209496116146,0.26225760310882373,"[1.0132155974534192, 0.9854187745952536]",-0.03944324493839396
AR-S4U,1,2,NAT,3,0.141689574869927,0.9797123614909595,0.14243468155277506,"[1.0012171535636667, 1.0094343865315838, 0.9846064508996337]",-0.03954442151173568
AR-S4U,1,2,NAT,4,0.06838914904630117,0.995111221410503,0.06991980112598284,"[0.997768998072498, 1.0010040944643277, 0.9971148568887903, 1.0137139956973529]",-0.03955403179966017
AR-S4U,1,2,NAT,5,0.03278030677986713,0.998713748605198,0.03586434712638722,"[0.9997037714363639, 1.0019979793793166, 1.000413174390162, 0.9939495864871604, 1.000447482182057]",-0.039582235503872645
AR-S4U,1,2,NAT,6,0.012339230044128565,0.9996360405196982,0.019077722094152684,"[0.9993641409190723, 0.9996439415258135, 1.0008847956814315, 0.9978945845983802, 1.0047311562289643, 1.0033608953976736]",-0.03958349137551473
AR-S4U,1,2,NAT,7,0.0033213726195091163,0.9997772656017025,0.014924288870744271,"[0.9999701855324588, 1.0000985890243987, 1.000215679943845, 0.9993141877095595, 0.9999371315469653, 1.0073727339294423, 1.0148053386893028]",-0.039596837969687625
AR-S4U,1,2,NAT,8,0.0,0.9997927941748185,0.014394645712260202,"[0.9999645199997107, 1.0000660989769532, 1.000402190543301, 0.9997497614859887, 1.0007525561933968, 1.0042441846343066, 1.0148629980508252, 0.9945030142163876]",-0.03959767010361998
AR-S4U,1,2,NAT,9,0.0,0.9997902836048748,0.014481588142368836,"[1.0000005336862605, 1.00005014912924, 1.0004144271656323, 0.9997420589707907, 1.0006165085143024, 1.0056420060508298, 1.0103241699550456, 1.013990687306446, 1.0012881438460657]",-0.03959837493368998
AR-S4U,1,2,NAT,10,0.0,0.9997896623453844,0.014503022257986223,"[0.9999905914040248, 1.000056175439465, 1.0004266688113508, 1.0000452909731972, 0.9995605645026241, 1.0051972893259116, 1.007600921164609, 1.0070235241052286, 1.0165477954671616, 0.9851207431799534]",-0.03959793495889802
AR-S4U,1,2,NAT,11,0.0,0.9997930311009049,0.014386413698178445,"[0.9999838320445054, 1.000007254283428, 1.000415608614799, 1.0003457957365107, 1.0008704076645052, 1.003868835222876, 1.0083207105983696, 0.9980185314179983, 1.0128371061623023, 1.0094517484749819, 1.0308384583127443]",-0.03959807712774039
AR-S4U,1,2,NAT,12,0.0,0.9997916219367738,0.014435306135519832,"[0.9999318683238931, 1.0000317772669107, 1.0005864457672373, 1.0003899507681866, 1.0008346389627105, 1.002890408425493, 1.0071238365637782, 0.9986701654563257, 1.0069319767670395, 1.0281935169656573, 1.05276573278798, 1.0432676309818258]",-0.039597267021535335
AR-S4U,2,0,NAT,1,0.42003760082287245,0.8234313729051573,0.4202006985891892,[1.0297996328278984],-0.017947790078742715
