scenario,seed,variable,lag_basis_count,amplitude_basis_count,lag_smoothness,amplitude_smoothness,train_contribution_rmse,train_contribution_r2,validation_contribution_rmse,validation_contribution_r2,test_contribution_rmse,test_contribution_r2,surface_nrmse,e1r_projection_nrmse,excess_surface_error,relative_kkt_residual,condition_number,full_validation_mse,rank1_validation_mse,rank2_validation_mse,eta1,eta2,eta3,capacity_pass
AR-S3,0,1,32,16,0.01,0.1,0.04138937642918298,0.9847567442678706,0.046416474899491175,0.975686461260054,0.03539083983704955,0.9884816462876201,0.16751679502650024,0.022459759127008108,0.14505703589949215,4.761386175502095e-16,6748583471.586951,0.0021544891420950943,0.04381880064644973,0.0020188804948174303,0.3199018071781143,0.0022532725878630943,0.0011346805130005527,False
AR-S3,1,1,32,16,0.01,0.1,0.03602706019508737,0.9874511222282358,0.03565731943651875,0.9878280949336614,0.0524749227287074,0.9763316230681852,0.15453370612296186,0.022913069742555938,0.13162063638040591,4.524063180430343e-16,7581000909.685736,0.001271444429397938,0.044566336276025735,0.0011980444343958393,0.3398472325492431,0.0021627816727486362,0.001087926943059009,False
AR-S3,2,1,32,16,0.01,0.1,0.03387618078987735,0.989710690776396,0.043104982884855335,0.9823229535923473,0.034544380884078,0.9894898711202088,0.14134080816208824,0.021010412055056552,0.1203303961070317,5.782120584262032e-16,7150232635.344008,0.0018580395495036712,0.04404421074135784,0.0018335940498809835,0.3152126997375397,0.0015384152564163636,0.0008001856578282557,False
AR-S3,3,1,32,16,0.01,0.1,0.03166876931463779,0.98902347759635,0.06573452619238097,0.9553006568736899,0.029054813511786317,0.9924276307003624,0.1390259423915915,0.02117703735262518,0.11784890503896632,5.505051290732282e-16,6488644132.091769,0.0043210279337368195,0.049053004887623985,0.004225118639093424,0.35504832800444114,0.0016713768594967522,0.0007243474879401926,False
AR-S3,4,1,32,16,0.01,0.1,0.036666094434274515,0.9868245240396597,0.05672309234632358,0.9770708702395055,0.05485195837979512,0.9698876214011708,0.1480316177120216,0.02036782603107514,0.12766379168094646,4.533489821124019e-16,7733465538.063279,0.0032175092053295523,0.047377127636066094,0.003135031800839833,0.35473656796332653,0.0028250697977429723,0.0016043535965445611,False
AR-S3,0,2,32,16,0.01,0.1,0.04748837867546568,0.9817209841374944,0.03609965156084651,0.9871571057442423,0.0694244277190631,0.965755739592441,0.1861349710843368,0.016945585237175514,0.16918938584716128,3.927941345737004e-16,7409364077.554109,0.0013031848428145282,0.03202815218153365,0.0012110148835921023,0.37093363672031715,0.0014659264037661822,0.0009368535233843381,False
AR-S3,1,2,32,16,0.01,0.1,0.0443934822189637,0.9849648458972867,0.07556485094456372,0.9615741393992592,0.06730299783654146,0.9628992567930355,0.20741939721117775,0.016811526907790954,0.1906078703033868,4.0570457106356424e-16,8117275199.949918,0.005710046698274134,0.054252926866274705,0.005665557092233781,0.4179867691321587,0.0013968869454146565,0.000684429252233632,False
AR-S3,2,2,32,16,0.01,0.1,0.07043511574849642,0.966674878311092,0.04346645828784133,0.9819105119192552,0.05901302432663772,0.9714052071460898,0.27007336402160015,0.017043305024895324,0.25303005899670483,3.438033400194576e-16,7252725729.799238,0.0018893329960886502,0.024016686801879402,0.001741801486071215,0.43417660378001316,0.0030888587699284633,0.0018968830548485504,False
AR-S3,3,2,32,16,0.01,0.1,0.03999491351532724,0.9877579040785189,0.05369547532291794,0.9770899868166055,0.04730584547320878,0.9819308873466283,0.1825024213080175,0.016950570552279973,0.16555185075573753,3.2657659574055747e-16,7981344590.497414,0.00288320407015409,0.03752914065027122,0.002851645783274911,0.3898828754722039,0.0009434624064814462,0.0005814305441455357,False
AR-S3,4,2,32,16,0.01,0.1,0.044561937669330524,0.9839156428286701,0.06964042815177027,0.9618488565925786,0.08049103057680895,0.9574273161047094,0.16518698894640282,0.01684989912094238,0.14833708982546046,4.2268220222744693e-16,6526234646.282509,0.004849789233161876,0.05171644387486437,0.004659789533471764,0.3951058035316454,0.001630060811006114,0.0008287839119053738,False
AR-S4,0,0,32,16,0.1,0.1,0.2728924834182764,0.6138249626371478,0.28668956817108115,0.48742749466243385,0.28870901678741995,0.5919208545617621,0.777124776474001,0.018538648269789185,0.7585861282042118,4.0022132157805055e-16,6571810331.309294,0.082190908498121,0.08128199934527999,0.08209807252532823,0.06734904326218129,0.03289861794218371,0.0199358644674994,False
AR-S4,1,0,32,16,0.1,0.1,0.28210976366825313,0.6068605909506626,0.28459732394535764,0.6114685988096633,0.3026658815777782,0.5476246111303357,0.7809916985043632,0.018502516059296897,0.7624891824450664,3.7550848342336764e-16,6400719273.274977,0.08099563679685882,0.08048629506479377,0.08150509571443368,0.054494337524260604,0.031476239592250384,0.017670108078194864,False
AR-S4,2,0,32,16,0.1,0.1,0.28153604263794396,0.6019717013564372,0.2950494033986469,0.5821904650162681,0.2832983031222258,0.5416470240115694,0.7782995532766498,0.018946647910469603,0.7593529053661802,3.329666828439906e-16,6533490185.11508,0.08705415044589745,0.08428739260246279,0.08541142484184562,0.06546761519998195,0.04272898423019887,0.022051409230239735,False
AR-S4,3,0,32,16,0.1,0.1,0.27800765841810887,0.6382180671878703,0.28886132550196286,0.5899958978046107,0.2933331410722809,0.6126302775675323,0.7170929152816619,0.019086693657258933,0.698006221624403,3.999382172863957e-16,7036330252.560333,0.08344086537075095,0.08307273556947561,0.08240422723618561,0.07037261912753831,0.03673276986944693,0.02169907288427974,False
AR-S4,4,0,32,16,0.1,0.1,0.2661963538333933,0.6380295608128208,0.3016423695447557,0.5331506266542925,0.3016612735703927,0.5482537914635919,0.7938642910778677,0.018471126958545074,0.7753931641193227,4.124939603136546e-16,7909465356.570419,0.09098811910457495,0.0889000627182613,0.09009066752423894,0.06061481445322628,0.03523920105242611,0.023790299136411137,False
